REGULATOR	REGULATED	EFFECT
Fis	ompR	activator
Fis	ompR	regulator
Fis	pocR	activator
Fis	pocR	regulator
Fis	rpoS	activator
Fis	rpoS	regulator
Fis	rpoS	repressor
Fis	sipC	regulator
Fis	sopB	regulator
Fis	spaO	activator
Fis	spaO	regulator
Fis	ssaG	regulator
Fis	ssrA	activator
Fis	ssrA	regulator
Fis	ssrAB	activator
Fis	tolC	regulator
FlhD	ecnR	regulator
FlhD	flgM	activator
FlhD	flhC	regulator
FlhD	flhC	repressor
FlhD	flhD	activator
FlhD	flhD	regulator
FlhD	flhDC	activator
FlhD	flhDC	regulator
FlhD	flhDC	repressor
FlhD	fliA	activator
FlhD	fliA	regulator
FlhD	fliA	repressor
FlhD	fliC	repressor
FlhD	fliL	regulator
FlhD	fliZ	activator
FlhD	fliZ	repressor
FlhD	narK	regulator
FlhD	rcsB	activator
FlhD	rflM	activator
FlhD	rflM	repressor
FlhD	srfA	regulator
FlhD	ydiV	regulator
FlhD	ydiV	repressor
FlhDC	STM3611	regulator
FlhDC	flgK	regulator
FlhDC	flgM	regulator
FlhDC	flgN	regulator
FlhDC	flhDC	activator
FlhDC	flhDC	repressor
FlhDC	fliA	activator
FlhDC	fliA	regulator
FlhDC	fliZ	activator
FlhDC	hilA	activator
FlhDC	hilD	repressor
FlhDC	rflM	activator
FlhDC	rflM	repressor
FlhDC	srfABC	regulator
FlhDC	srfB	activator
FliA	STM3611	regulator
FliA	flgM	activator
FliA	flhDC	regulator
FliA	fliA	activator
FliA	fliA	regulator
FliA	fliC	activator
FliA	fliC	regulator
FliA	fliZ	regulator
FliA	fljB	activator
FliA	hilA	regulator
FliA	hilC	regulator
FliZ	fimA	activator
FliZ	fimA	regulator
FliZ	fimA	repressor
FliZ	flgM	activator
FliZ	flgM	regulator
FliZ	flhD	regulator
FliZ	flhDC	activator
FliZ	fliA	activator
FliZ	fliA	regulator
FliZ	fliZ	activator
FliZ	fliZ	regulator
FliZ	fliZ	repressor
FliZ	hilA	activator
FliZ	hilA	regulator
FliZ	hilA	repressor
FliZ	hilC	activator
FliZ	hilC	regulator
FliZ	hilD	activator
FliZ	hilD	regulator
FliZ	hilE	regulator
FliZ	rpoS	repressor
FliZ	ydiV	activator
FliZ	ydiV	regulator
FliZ	ydiV	repressor
Fnr	asr	repressor
Fnr	cydAB	regulator
Fnr	cydAB	repressor
Fnr	cyoABCDE	regulator
Fnr	cyoABCDE	repressor
Fnr	feoB	activator
Fnr	feoB	regulator
Fnr	ftnB	activator
Fnr	ftnB	regulator
Fnr	ftnB	repressor
Fnr	fumB	regulator
Fnr	hilA	activator
Fnr	hilA	regulator
Fnr	hilA	repressor
Fnr	hmp	regulator
Fnr	hmp	repressor
Fnr	hmpA	activator
Fnr	hmpA	regulator
Fnr	hmpA	repressor
Fnr	pepT	activator
Fnr	sodA	regulator
Fnr	sodA	repressor
Fnr	yneB	regulator
Fnr	yneB	repressor
Fur	bfr	repressor
Fur	cydAB	repressor
Fur	cyoABCDE	repressor
Fur	dmsABC	activator
Fur	eutSPQTDMEJGHABCLK	activator
Fur	feoB	activator
Fur	feoB	regulator
Fur	feoB	repressor
Fur	flhDC	activator
Fur	flhDC	regulator
Fur	ftnA	activator
Fur	ftnA	regulator
Fur	ftnB	activator
Fur	ftnB	regulator
Fur	ftnB	repressor
Fur	fur	activator
Fur	fur	regulator
Fur	fur	repressor
Fur	hcr	repressor
Fur	hilA	activator
Fur	hilA	regulator
Fur	hilA	repressor
Fur	hilD	regulator
Fur	hilD	repressor
Fur	hmp	regulator
Fur	hmp	repressor
Fur	hmpA	activator
Fur	hmpA	regulator
Fur	hmpA	repressor
Fur	hns	activator
Fur	hns	regulator
Fur	hns	repressor
Fur	iroA	regulator
Fur	iroA	repressor
Fur	iroBCDE	repressor
Fur	map	repressor
Fur	mntH	activator
Fur	mntH	regulator
Fur	mntH	repressor
Fur	nrdAB	repressor
Fur	nrdDG	repressor
Fur	nrdHIEF	activator
Fur	nrdHIEF	regulator
Fur	nrdHIEF	repressor
Fur	prgH	repressor
Fur	prgK	repressor
Fur	rpoS	regulator
Fur	ryhB	regulator
Fur	ryhB	repressor
Fur	secY	activator
Fur	secY	regulator
Fur	sicA	repressor
Fur	sipADCB	repressor
Fur	sipC	activator
Fur	sitABCD	activator
Fur	sitABCD	regulator
Fur	sitABCD	repressor
Fur	sodA	activator
Fur	sodA	regulator
Fur	sodA	repressor
Fur	sodB	activator
Fur	sodB	regulator
Fur	ydiE	regulator
Fur	ygbA	repressor
HNS	flhDC	regulator
HNS	hilA	repressor
HU	hilA	activator
HU	hilA	regulator
HU	hilA	repressor
HU	hilD	regulator
HU	hilD	repressor
HU	hilE	repressor
HU	nrdDG	activator
HU	ompD	regulator
HU	ssrAB	repressor
Hha	hilA	activator
Hha	hilA	regulator
Hha	hilA	repressor
Hha	hilC	regulator
Hha	hilC	repressor
Hha	hilD	regulator
Hha	hilD	repressor
Hha	hilE	repressor
Hha	invF	regulator
Hha	invF	repressor
Hha	map	regulator
Hha	prgH	repressor
Hha	sipC	repressor
Hha	ssrA	repressor
Hha	ssrB	repressor
HilA	atpF	regulator
HilA	atpF	repressor
HilA	dsbA	activator
HilA	flhC	regulator
HilA	flhD	activator
HilA	flhD	regulator
HilA	flhD	repressor
HilA	flhDC	activator
HilA	flhDC	regulator
HilA	flhDC	repressor
HilA	fliA	regulator
HilA	fliZ	regulator
HilA	glpT	regulator
HilA	glpT	repressor
HilA	hilA	activator
HilA	hilA	regulator
HilA	hilA	repressor
HilA	hilC	activator
HilA	hilD	activator
HilA	hilD	regulator
HilA	invA	activator
HilA	invC	activator
HilA	invF	activator
HilA	invF	regulator
HilA	invF	repressor
HilA	isrJ	regulator
HilA	lpp	regulator
HilA	lpp	repressor
HilA	map	regulator
HilA	orgB	activator
HilA	orgB	regulator
HilA	orgBC	activator
HilA	orgC	activator
HilA	prgH	activator
HilA	prgH	regulator
HilA	prgHIJK	regulator
HilA	sicA	activator
HilA	sicA	regulator
HilA	sicA	repressor
HilA	siiA	activator
HilA	siiA	regulator
HilA	siiB	regulator
HilA	siiE	activator
HilA	siiE	regulator
HilA	siiE	repressor
HilA	sipA	activator
HilA	sipA	regulator
HilA	sipC	activator
HilA	sipC	regulator
HilA	sipC	repressor
HilA	sopA	regulator
HilA	sopB	activator
HilA	sopB	regulator
HilA	sopE	regulator
HilA	sprB	activator
HilA	sprB	regulator
HilA	ssaH	regulator
HilA	ssaH	repressor
HilA	sseL	regulator
HilA	sseL	repressor
HilA	ssrB	regulator
HilA	ygiM	regulator
HilA	ygiM	repressor
HilC	dsbA	activator
HilC	dsbA	regulator
HilC	flhDC	activator
HilC	fliZ	activator
HilC	fliZ	regulator
HilC	hilA	activator
HilC	hilA	regulator
HilC	hilA	repressor
HilC	hilC	activator
HilC	hilC	regulator
HilC	hilC	repressor
HilC	hilD	activator
HilC	hilD	regulator
HilC	hilD	repressor
HilC	invF	activator
HilC	invF	regulator
HilC	invF	repressor
HilC	lpxR	regulator
HilC	mcpC	regulator
HilC	siiA	activator
HilC	siiA	regulator
HilC	siiE	activator
HilC	slrP	activator
HilC	slrP	regulator
HilC	sopB	activator
HilC	ytfK	activator
HilD	dapZ	activator
HilD	dapZ	regulator
HilD	dsbA	activator
HilD	dsbA	regulator
HilD	fis	activator
HilD	fis	repressor
HilD	flhC	activator
HilD	flhC	regulator
HilD	flhD	activator
HilD	flhD	regulator
HilD	flhDC	activator
HilD	flhDC	regulator
HilD	flhDC	repressor
HilD	fliZ	activator
HilD	fliZ	repressor
HilD	hilA	activator
HilD	hilA	regulator
HilD	hilA	repressor
HilD	hilC	activator
HilD	hilC	regulator
HilD	hilC	repressor
HilD	hilD	activator
HilD	hilD	regulator
HilD	hilD	repressor
HilD	hilE	regulator
HilD	hilE	repressor
HilD	invF	activator
HilD	invF	regulator
HilD	invF	repressor
HilD	lpxR	activator
HilD	lpxR	regulator
HilD	map	regulator
HilD	mcpC	regulator
HilD	pmrD	repressor
HilD	rflM	activator
HilD	rflM	repressor
HilD	siiA	activator
HilD	siiA	regulator
HilD	siiE	activator
HilD	sipC	activator
HilD	slrP	activator
HilD	slrP	regulator
HilD	sprB	activator
HilD	sprB	regulator
HilD	sprB	repressor
HilD	ssaG	repressor
HilD	ssrA	activator
HilD	ssrA	regulator
HilD	ssrAB	activator
HilD	ssrAB	regulator
HilD	ssrAB	repressor
HilD	sulA	repressor
HilD	ytfK	activator
HilD	ytfK	regulator
HilE	hilA	activator
HilE	hilA	regulator
HilE	hilA	repressor
HilE	hilC	regulator
HilE	hilD	activator
HilE	hilD	regulator
HilE	hilD	repressor
HilE	hilE	activator
HilE	invF	repressor
HilE	siiE	repressor
HilE	sulA	repressor
IHF	csgD	activator
IHF	csgD	regulator
IHF	csrB	activator
IHF	csrB	regulator
IHF	dps	activator
IHF	fimA	regulator
IHF	fis	activator
IHF	fis	regulator
IHF	fur	activator
IHF	glnH	activator
IHF	glnH	regulator
IHF	hilA	regulator
IHF	mgtCB	activator
IHF	ompR	regulator
IHF	pipB	activator
IHF	prpBCDE	activator
IHF	prpR	repressor
IHF	spvABC	activator
IHF	spvR	regulator
IHF	tolC	regulator
IgaA	flhDC	activator
IgaA	flhDC	regulator
IgaA	igaA	activator
IgaA	igaA	regulator
IgaA	rcsB	regulator
IgaA	rcsB	repressor
IgaA	spvAB	activator
IgaA	spvAB	regulator
IgaA	ugd	activator
IgaA	ugd	regulator
IgaA	ugd	repressor
InvF	dsbA	activator
InvF	dsbA	regulator
InvF	hilA	activator
InvF	hilA	regulator
InvF	invF	activator
InvF	invF	regulator
InvF	prgH	regulator
InvF	sicA	activator
InvF	sicA	regulator
InvF	sipA	regulator
InvF	sipBCDA	activator
InvF	sipC	activator
InvF	sipC	regulator
InvF	sopA	activator
InvF	sopA	regulator
InvF	sopA	repressor
InvF	sopB	activator
InvF	sopB	regulator
InvF	sopB	repressor
InvF	sopE	activator
InvF	sopE	regulator
LexA	finP	regulator
LexA	nanH	regulator
LexA	sulA	regulator
LexA	sulA	repressor
Lrp	agn43	regulator
Lrp	fimA	activator
Lrp	fimA	regulator
Lrp	fimA	repressor
Lrp	fimW	regulator
Lrp	fimZ	activator
Lrp	fimZ	regulator
Lrp	fimZ	repressor
Lrp	hilA	repressor
Lrp	invF	repressor
Lrp	spvA	repressor
Lrp	ssrA	repressor
Lrp	traJ	activator
LsrR	fliC	repressor
LsrR	invF	activator
LsrR	invF	regulator
LsrR	invF	repressor
LsrR	sicA	repressor
LsrR	sopB	repressor
LsrR	sopE	repressor
LuxS	hilA	activator
LuxS	hilA	regulator
LuxS	invF	regulator
LuxS	invF	repressor
LuxS	prgH	activator
MalT	malX	regulator
MarA	acrAB	activator
MarA	acrAB	regulator
MarA	marRAB	activator
MarA	mgtA	activator
MarA	ompW	activator
MarA	ompW	regulator
MarA	ompW	repressor
MarA	rob	repressor
MarA	sodA	activator
MarA	soxS	activator
MarA	tolC	activator
MarT	misL	activator
MarT	misL	regulator
MarT	misL	repressor
MetJ	metA	repressor
MetJ	metE	repressor
MetJ	metF	repressor
MetJ	metH	repressor
MetJ	metR	repressor
MetR	cysB	regulator
MetR	glyA	activator
MetR	glyA	regulator
MetR	hilA	activator
MetR	hmp	activator
MetR	metA	activator
MetR	metA	regulator
MetR	metA	repressor
MetR	metE	activator
MetR	metE	regulator
MetR	metE	repressor
MetR	metF	activator
MetR	metF	regulator
MetR	metF	repressor
MetR	metH	activator
MetR	metH	regulator
MetR	metH	repressor
MetR	metR	activator
MetR	metR	regulator
MetR	metR	repressor
MetR	spvR	activator
Mlc	hilA	activator
Mlc	hilA	regulator
Mlc	hilD	regulator
Mlc	hilD	repressor
Mlc	hilE	activator
Mlc	hilE	regulator
Mlc	hilE	repressor
Mlc	invF	regulator
MntR	fur	regulator
MntR	fur	repressor
MntR	mntH	activator
MntR	mntH	regulator
MntR	mntH	repressor
MntR	mntR	regulator
MntR	mntR	repressor
MntR	sitABCD	activator
MntR	sitABCD	regulator
MntR	sitABCD	repressor
MviA	igaA	activator
MviA	igaA	regulator
MviA	igaA	repressor
MviA	rcsB	regulator
MviA	rcsB	repressor
MviA	rpoS	regulator
MviA	rpoS	repressor
NadR	nadA	regulator
NadR	nadA	repressor
NadR	nadB	regulator
NadR	nadB	repressor
NadR	pncB	regulator
NadR	pncB	repressor
NadR	pnuC	regulator
NrdR	nrdAB	activator
NrdR	nrdAB	regulator
NrdR	nrdAB	repressor
NrdR	nrdDG	regulator
NrdR	nrdDG	repressor
NrdR	nrdHIEF	activator
NrdR	nrdHIEF	regulator
NrdR	nrdHIEF	repressor
NsrR	hcp	regulator
NsrR	hcp	repressor
NsrR	hcr	regulator
NsrR	hcr	repressor
NsrR	hmp	activator
NsrR	hmp	regulator
NsrR	hmp	repressor
NsrR	hmpA	activator
NsrR	hmpA	repressor
NsrR	ryhB	regulator
NsrR	sodB	regulator
NsrR	tehB	regulator
NsrR	ygbA	regulator
NsrR	ygbA	repressor
NsrR	ytfE	regulator
NsrR	ytfE	repressor
NtrC	glnH	activator
NtrC	glnKamtB	activator
NtrC	glnKamtB	regulator
OmpR	bamA	regulator
OmpR	csgD	activator
OmpR	csgD	regulator
OmpR	cstA2	repressor
OmpR	flhD	repressor
OmpR	flhDC	regulator
OmpR	flhDC	repressor
OmpR	hilA	activator
OmpR	hilA	regulator
OmpR	hilA	repressor
OmpR	hilC	activator
OmpR	hilC	regulator
OmpR	hilD	activator
OmpR	hilD	regulator
OmpR	hilD	repressor
OmpR	hns	regulator
OmpR	map	regulator
OmpR	mgtC	activator
OmpR	mgtC	regulator
OmpR	micF	regulator
OmpR	narK	activator
OmpR	nrfA	repressor
OmpR	ompA	repressor
OmpR	ompF	activator
OmpR	ompF	regulator
OmpR	ompF	repressor
OmpR	ompR	activator
OmpR	ompR	regulator
OmpR	ompR	repressor
OmpR	ompS1	activator
OmpR	ompS1	regulator
OmpR	ompS1	repressor
OmpR	phoP	activator
OmpR	phoP	regulator
OmpR	pmrCAB	activator
OmpR	prgH	regulator
OmpR	prgHIJK	regulator
OmpR	sdhCDA	activator
OmpR	sprB	activator
OmpR	sprB	regulator
OmpR	sprB	repressor
OmpR	ssaB	activator
OmpR	ssaB	regulator
OmpR	ssaG	activator
OmpR	ssaG	regulator
OmpR	ssaH	activator
OmpR	ssaH	repressor
OmpR	ssrA	activator
OmpR	ssrA	regulator
OmpR	ssrA	repressor
OmpR	ssrAB	activator
OmpR	ssrAB	regulator
OmpR	ssrAB	repressor
OmpR	ssrB	activator
OmpR	ssrB	regulator
OmpR	tppB	activator
OmpR	tppB	regulator
OmpR	tviA	regulator
OmpR	yehUT	activator
OxyR	agn43	regulator
OxyR	agn43	repressor
OxyR	ahpC	regulator
OxyR	dps	activator
OxyR	dps	regulator
OxyR	gor	regulator
OxyR	mntH	activator
OxyR	mntH	regulator
OxyR	mntH	repressor
OxyR	nrdHIEF	activator
OxyR	oxyR	activator
OxyR	oxyR	regulator
OxyR	oxyR	repressor
OxyR	oxyS	activator
OxyR	oxyS	regulator
OxyR	oxyS	repressor
OxyR	sitABCD	regulator
OxyR	spvR	activator
PhoB	hilA	activator
PhoB	hilA	regulator
PhoB	hilA	repressor
PhoB	hilC	repressor
PhoB	hilD	regulator
PhoB	hilD	repressor
PhoB	hilE	activator
PhoB	hilE	regulator
PhoP	amgR	activator
PhoP	amgR	regulator
PhoP	corA	regulator
PhoP	envE	activator
PhoP	feoB	activator
PhoP	flhDC	regulator
PhoP	fliC	repressor
PhoP	glpK	regulator
PhoP	glpK	repressor
PhoP	gmm	activator
PhoP	gmm	regulator
PhoP	gmm	repressor
PhoP	hemL	regulator
PhoP	hilA	activator
PhoP	hilA	regulator
PhoP	hilA	repressor
PhoP	hilE	activator
PhoP	hilE	repressor
PhoP	igaA	repressor
PhoP	invA	regulator
PhoP	iraP	activator
PhoP	iraP	regulator
PhoP	iraP	repressor
PhoP	lpxO	activator
PhoP	lpxO	regulator
PhoP	lpxO	repressor
PhoP	malX	activator
PhoP	map	regulator
PhoP	mgrB	activator
PhoP	mgrB	regulator
PhoP	mgtA	activator
PhoP	mgtA	regulator
PhoP	mgtB	activator
PhoP	mgtB	regulator
PhoP	mgtC	activator
PhoP	mgtC	regulator
PhoP	mgtC	repressor
PhoP	mgtCB	activator
PhoP	mgtCB	regulator
PhoP	mgtCBR	activator
PhoP	mgtCBR	regulator
PhoP	ompD	activator
PhoP	ompD	regulator
PhoP	orgB	activator
PhoP	orgB	regulator
PhoP	orgB	repressor
PhoP	orgBC	activator
PhoP	orgBC	regulator
PhoP	orgC	activator
PhoP	orgC	regulator
PhoP	orgC	repressor
PhoP	pagA	activator
PhoP	pagA	regulator
PhoP	pagB	activator
PhoP	pagB	regulator
PhoP	pagC	activator
PhoP	pagC	regulator
PhoP	pagC	repressor
PhoP	pagD	activator
PhoP	pagD	regulator
PhoP	pagJ	regulator
PhoP	pagK	activator
PhoP	pagK	regulator
PhoP	pagM	activator
PhoP	pagM	regulator
PhoP	pagM	repressor
PhoP	pagN	activator
PhoP	pagP	activator
PhoP	pagP	regulator
PhoP	pagP	repressor
PhoP	pbgE	activator
PhoP	pbgE	regulator
PhoP	pbgM	activator
PhoP	pbgM	regulator
PhoP	pbgP	activator
PhoP	pbgP	regulator
PhoP	pcgD	activator
PhoP	pcgD	regulator
PhoP	pcgL	activator
PhoP	pcgL	regulator
PhoP	pcgP	activator
PhoP	pcgP	regulator
PhoP	phoN	activator
PhoP	phoN	regulator
PhoP	phoP	activator
PhoP	phoP	regulator
PhoP	phoP	repressor
PhoP	phoPQ	activator
PhoP	phoPQ	regulator
PhoP	phoPQ	repressor
PhoP	pipD	activator
PhoP	pipD	regulator
PhoP	pmrA	activator
PhoP	pmrA	regulator
PhoP	pmrA	repressor
PhoP	pmrAB	activator
PhoP	pmrAB	regulator
PhoP	pmrAB	repressor
PhoP	pmrB	regulator
PhoP	pmrC	activator
PhoP	pmrC	regulator
PhoP	pmrCAB	activator
PhoP	pmrCAB	regulator
PhoP	pmrD	activator
PhoP	pmrD	regulator
PhoP	pmrHFIJKLM	regulator
PhoP	prgB	regulator
PhoP	prgB	repressor
PhoP	prgC	regulator
PhoP	prgC	repressor
PhoP	prgH	activator
PhoP	prgH	regulator
PhoP	prgH	repressor
PhoP	prgHIJK	regulator
PhoP	prgHIJK	repressor
PhoP	rob	activator
PhoP	rstA	activator
PhoP	rstA	regulator
PhoP	rstA	repressor
PhoP	siiA	repressor
PhoP	siiE	repressor
PhoP	sodCI	activator
PhoP	sodCI	regulator
PhoP	sodCII	activator
PhoP	sopB	activator
PhoP	spvA	regulator
PhoP	spvC	regulator
PhoP	srfABC	regulator
PhoP	srfABC	repressor
PhoP	srfJ	activator
PhoP	srfJ	regulator
PhoP	ssaB	regulator
PhoP	ssaB	repressor
PhoP	ssaG	regulator
PhoP	ssaV	activator
PhoP	sseA	regulator
PhoP	sseG	regulator
PhoP	sseL	activator
PhoP	ssrA	regulator
PhoP	ssrAB	activator
PhoP	ssrAB	regulator
PhoP	ssrB	activator
PhoP	ssrB	regulator
PhoP	ugd	activator
PhoP	ugd	regulator
PhoP	ugtL	activator
PhoP	ugtL	regulator
PhoP	ugtL	repressor
PhoP	ushA	activator
PhoP	ushA	regulator
PhoP	virK	activator
PhoP	virK	regulator
PhoP	virK	repressor
PhoP	ybjX	activator
PhoP	ybjX	regulator
PhoP	ydeI	activator
PhoP	ydeI	regulator
PhoP	yrbL	activator
PhoP	yrbL	regulator
PhoR	hilA	regulator
PhoR	hilA	repressor
PhoR	hilE	activator
PhoR	hilE	repressor
Phop	pmrD	regulator
PmrA	gmm	regulator
PmrA	gmm	repressor
PmrA	iroA	repressor
PmrA	mdaB	regulator
PmrA	mgtA	regulator
PmrA	mgtC	regulator
PmrA	pagB	activator
PmrA	pagB	regulator
PmrA	pagC	regulator
PmrA	pagP	regulator
PmrA	pbgE	activator
PmrA	pbgE	regulator
PmrA	pbgM	regulator
PmrA	pbgP	activator
PmrA	pbgP	regulator
PmrA	pcgD	regulator
PmrA	pcgL	regulator
PmrA	pcgP	regulator
PmrA	phoP	activator
PmrA	phoP	regulator
PmrA	pmrA	activator
PmrA	pmrA	regulator
PmrA	pmrA	repressor
PmrA	pmrAB	activator
PmrA	pmrAB	regulator
PmrA	pmrB	regulator
PmrA	pmrC	activator
PmrA	pmrC	regulator
PmrA	pmrCAB	activator
PmrA	pmrCAB	regulator
PmrA	pmrD	activator
PmrA	pmrD	regulator
PmrA	pmrD	repressor
PmrA	pmrHFIJKLM	activator
PmrA	pmrHFIJKLM	regulator
PmrA	rcsB	regulator
PmrA	rcsB	repressor
PmrA	ugd	activator
PmrA	ugd	regulator
PmrA	wzz	activator
PmrA	wzz	regulator
PmrA	wzz	repressor
PmrA	ydeI	activator
PmrA	ydeI	regulator
PmrA	yrbL	repressor
PocR	pduF	activator
PocR	pduF	regulator
PocR	pocR	activator
PocR	pocR	regulator
PocR	pocR	repressor
