sentence	sentence_tagged	regulator	regulated	span_regulator_regulated	label
These results showed that MarA by itself could directly repress purA and hdeA transcription .	These results showed that @TF$ by itself could directly repress purA and @Regulated$ transcription .	MarA	hdeA	[[26, 30], [73, 77]]	repressor
The promoter for the MarA - activated gene nfnB ( 20 ) , also mixed with gnd DNA , was tested in parallel as a positive control for MarA activity .	The promoter for the @TF$ - activated gene @Regulated$ ( 20 ) , also mixed with gnd DNA , was tested in parallel as a positive control for MarA activity .	MarA	nfnB	[[21, 25], [43, 47]]	activator
( 2000 ) FNR dependent activation of the class II dmsA and narG promoters of Escherichia coli requires FNR - activating regions 1 and 3 .	( 2000 ) @TF$ dependent activation of the class II @Regulated$ and narG promoters of Escherichia coli requires FNR - activating regions 1 and 3 .	FNR	dmsA	[[9, 12], [50, 54]]	activator
The melR promoter and its repression by MelR .	The @Regulated$ promoter and its repression by @TF$ .	MelR	melR	[[40, 44], [4, 8]]	repressor
It should be remembered that nagE encodes the GlcNAc - specific PTS transporter and the genes for two other PTS transporters ( ptsG and manXYZ ) plus the genes for the central components of the PTS ( ptsHIcrr ) have been shown to be regulated by Mlc ( 6 – 11 ) .	It should be remembered that nagE encodes the GlcNAc - specific PTS transporter and the genes for two other PTS transporters ( ptsG and @Regulated$ ) plus the genes for the central components of the PTS ( ptsHIcrr ) have been shown to be regulated by @TF$ ( 6 – 11 ) .	Mlc	manXYZ	[[246, 249], [136, 142]]	regulator
RESULTS Oligomerization of DnaA Protein to the dnaA Promoter â€” Sequence - specific DNA binding of DnaA protein to the dnaA promoter region ( Fig . 1 ) was studied in detail using a combined gel - shift and chemical footprinting assay to determine the extent of DNA binding to the region flanking the consensus DNA - binding site , the DnaA box .	RESULTS Oligomerization of DnaA Protein to the @Regulated$ Promoter â€” Sequence - specific DNA binding of @TF$ protein to the dnaA promoter region ( Fig . 1 ) was studied in detail using a combined gel - shift and chemical footprinting assay to determine the extent of DNA binding to the region flanking the consensus DNA - binding site , the DnaA box .	DnaA	dnaA	[[100, 104], [47, 51]]	no_relation
In contrast , the repression of both soxS and rob by SoxS , Rob , or MarA occurs via a yet to be identified binding site ( s ) within the sox and rob promoter regions ( 15 , 16 ) .	In contrast , the repression of both soxS and @Regulated$ by @TF$ , Rob , or MarA occurs via a yet to be identified binding site ( s ) within the sox and rob promoter regions ( 15 , 16 ) .	SoxS	rob	[[53, 57], [46, 49]]	repressor
Under identical experimental conditions as for argO , the regulatory regions of the other ArgP - regulated genes ( asd , dapB , dapD , gdhA , lysA , lysC , and lysP ) were also bound by ArgP , with apparent K d s ranging from 55 nM to 170 nM ; in all these cases ( unlike the situation with argO ) , the addition of Lys was associated with an increase in the apparent K d , indicating that ArgP binding in these instances is Lys sensitive .	Under identical experimental conditions as for argO , the regulatory regions of the other ArgP - regulated genes ( asd , dapB , dapD , gdhA , lysA , @Regulated$ , and lysP ) were also bound by @TF$ , with apparent K d s ranging from 55 nM to 170 nM ; in all these cases ( unlike the situation with argO ) , the addition of Lys was associated with an increase in the apparent K d , indicating that ArgP binding in these instances is Lys sensitive .	ArgP	lysC	[[186, 190], [149, 153]]	no_relation
They demonstrated that acnA has two promoters , P1 and P2 , the latter being regulated by SoxS , FNR , CRP and ArcA .	They demonstrated that @Regulated$ has two promoters , P1 and P2 , the latter being regulated by SoxS , @TF$ , CRP and ArcA .	FNR	acnA	[[97, 100], [23, 27]]	regulator
These results together indicated that marbox 3 , and particularly its RE2 , was critical for repression of hdeA by MarA .	These results together indicated that marbox 3 , and particularly its RE2 , was critical for repression of @Regulated$ by @TF$ .	MarA	hdeA	[[115, 119], [107, 111]]	repressor
 MelR carrying each of the single substitutions is less able to repress the melR promoter , while MelR carrying some combinations of substitutions is completely unable to repress the melR promoter .	 @TF$ carrying each of the single substitutions is less able to repress the melR promoter, while MelR carrying some combinations of substitutions is completely unable to repress the @Regulated$ promoter.	MelR	melR	[[0, 4], [178, 181]]	no_relation
These results show that the decrease in purA and hdeA expression was caused , directly or indirectly , by transiently synthesized MarA rather than by a stress reaction due to constitutively overabundant MarA .	These results show that the decrease in @Regulated$ and hdeA expression was caused , directly or indirectly , by transiently synthesized MarA rather than by a stress reaction due to constitutively overabundant @TF$ .	MarA	purA	[[203, 207], [40, 44]]	no_relation
In the case of argO , ArgP mediates its transcriptional activation by Arg , as well as its repression by Lys ( 7 , 26 , 32 , 37 ) ; the latter is achieved by a mechanism involving the active trapping at the argO promoter by ArgP of RNA polymerase , which is then prevented from being released to engage in productive transcription ( 26 ) .	In the case of @Regulated$ , @TF$ mediates its transcriptional activation by Arg , as well as its repression by Lys ( 7 , 26 , 32 , 37 ) ; the latter is achieved by a mechanism involving the active trapping at the argO promoter by ArgP of RNA polymerase , which is then prevented from being released to engage in productive transcription ( 26 ) .	ArgP	argO	[[22, 26], [15, 19]]	activator
Expression of acrZ is coregulated with acrAB and tolC by the MarA , Rob , and SoxS transcription factors .	Expression of acrZ is coregulated with acrAB and @Regulated$ by the @TF$ , Rob , and SoxS transcription factors .	MarA	tolC	[[61, 65], [49, 53]]	regulator
Orientation of MelR bound at site R Wade et al . ( 17 ) showed that MelR - binding site R is essential for MelR - dependent repression of the melR A MelR RNA - 1 B TB23 TB23 TB22 TB22 MelR + + % Relative Intensity 150 100 50 0 TB23 MelR + MelR TB22 Figure 2 .	Orientation of MelR bound at site R Wade et al . ( 17 ) showed that MelR - binding site R is essential for MelR - dependent repression of the @Regulated$ A MelR RNA - 1 B TB23 TB23 TB22 TB22 @TF$ + + % Relative Intensity 150 100 50 0 TB23 MelR + MelR TB22 Figure 2 .	MelR	melR	[[184, 188], [142, 146]]	no_relation
We found that Rob ( i ) activates the transcription of zwf , fpr , fumC , micF , nfo , and sodA , ( ii ) requires a 21 - bp soxbox - marbox - robbox sequence to activate zwf transcription , ( iii ) protects the soxbox / marbox / robbox from attack by DNase I , ( iv ) is ambidextrous , i . e . , requires the C - terminal domain of the a subunit of RNA polymerase for activation of zwf but not fumC or micF , ( v ) bends zwf and fumC DNA , and ( vi ) binds zwf and fumC DNA as a monomer .	We found that @TF$ ( i ) activates the transcription of zwf , fpr , fumC , micF , @Regulated$ , and sodA , ( ii ) requires a 21 - bp soxbox - marbox - robbox sequence to activate zwf transcription , ( iii ) protects the soxbox / marbox / robbox from attack by DNase I , ( iv ) is ambidextrous , i . e . , requires the C - terminal domain of the a subunit of RNA polymerase for activation of zwf but not fumC or micF , ( v ) bends zwf and fumC DNA , and ( vi ) binds zwf and fumC DNA as a monomer .	Rob	nfo	[[14, 17], [81, 84]]	activator
Binding of NagC and Mlc to nagE operators in vivo As Mlc showed a stronger affinity for the nagE operator than NagC , it seemed possible that Mlc might be able to regulate the nagE promoter in the absence of NagC in vivo . ThreenagE â€“ lacZ fusions were tested : the standard â€˜ loop - forming â€™ nagBE â€“ lacZ fusion , whose expression is repressed by NagC binding co - operatively to the nagE and nagB operators ; and two single operator nagE â€“ lacZ fusions , missing the nagB promoter / operator , but carrying the same nagE â€“ lacZ junction .	Binding of @TF$ and Mlc to nagE operators in vivo As Mlc showed a stronger affinity for the nagE operator than NagC , it seemed possible that Mlc might be able to regulate the nagE promoter in the absence of NagC in vivo . ThreenagE â€“ lacZ fusions were tested : the standard â€˜ loop - forming â€™ @Regulated$ â€“ lacZ fusion , whose expression is repressed by NagC binding co - operatively to the nagE and nagB operators ; and two single operator nagE â€“ lacZ fusions , missing the nagB promoter / operator , but carrying the same nagE â€“ lacZ junction .	NagC	nagBE	[[11, 15], [300, 305]]	no_relation
This indicates that ( i ) the 70 NarL heptamer site is essential for NarL to function as an activator of nrfA expression and that ( ii ) other sites are used for NarL to repress expression independently of the 70 site , in contrast to prior interpretations ( see Discussion ) .	This indicates that ( i ) the 70 @TF$ heptamer site is essential for NarL to function as an activator of @Regulated$ expression and that ( ii ) other sites are used for NarL to repress expression independently of the 70 site , in contrast to prior interpretations ( see Discussion ) .	NarL	nrfA	[[33, 37], [105, 109]]	no_relation
This scenario is plausible , because ArgP and Lrp competitively activate argO ( 35 ) .	This scenario is plausible , because ArgP and @TF$ competitively activate @Regulated$ ( 35 ) .	Lrp	argO	[[46, 49], [73, 77]]	activator
Considering the in vivo and in vitro data presented in this work , the mechanism by which ArgP regulates argO transcription ( 24 ) , and the known capacity of Lrp to alter the shape of the DNA by inducing bending and wrapping ( 57 ) , a model for lysP regulation in which binding of Lrp to the lysP control region may favor and / or stabilize the ArgP - RNA polymerase - DNA complexes or introduce DNA conformational changes is conceivable .	Considering the in vivo and in vitro data presented in this work , the mechanism by which @TF$ regulates @Regulated$ transcription ( 24 ) , and the known capacity of Lrp to alter the shape of the DNA by inducing bending and wrapping ( 57 ) , a model for lysP regulation in which binding of Lrp to the lysP control region may favor and / or stabilize the ArgP - RNA polymerase - DNA complexes or introduce DNA conformational changes is conceivable .	ArgP	argO	[[90, 94], [105, 109]]	regulator
This domain alone could activate transcription of araBAD up to 15 % as well as full - length AraC when alone or to the same level as fulllength AraC when fused to an unrelated dimerization domain ( 7 , 36 ) .	This domain alone could activate transcription of @Regulated$ up to 15 % as well as full - length AraC when alone or to the same level as fulllength @TF$ when fused to an unrelated dimerization domain ( 7 , 36 ) .	AraC	araBAD	[[144, 148], [50, 56]]	no_relation
The results of the present study extend these observations and show that the MetR protein also stimulates the in vitro expression of metH and that both the MetE and MetH proteins synthesized in vitro are enzymatically active .	The results of the present study extend these observations and show that the @TF$ protein also stimulates the in vitro expression of @Regulated$ and that both the MetE and MetH proteins synthesized in vitro are enzymatically active .	MetR	metH	[[77, 81], [133, 137]]	activator
For the marbox transversion mutants ( no . 7 and 8 ) which are insensitive to stimulation by Rob , the presence of Rob increases the transcription of the chromosomal marRAB promoter and therefore only increases the repression of the mutant fusions .	For the marbox transversion mutants ( no . 7 and 8 ) which are insensitive to stimulation by Rob , the presence of @TF$ increases the transcription of the chromosomal @Regulated$ promoter and therefore only increases the repression of the mutant fusions .	Rob	marRAB	[[115, 118], [166, 172]]	activator
NagC represses nagE , encoding the N - acetylglucosamine - specific transporter , while Mlc represses three PTS operons , ptsG , manXYZ and ptsHIcrr , involved in the uptake of glucose .	NagC represses nagE , encoding the N - acetylglucosamine - specific transporter , while @TF$ represses three PTS operons , ptsG , @Regulated$ and ptsHIcrr , involved in the uptake of glucose .	Mlc	manXYZ	[[88, 91], [129, 135]]	repressor
Our conclusion runs contrary to that of Han et al . ( 20 ) , who overproduced IciA ( ArgP ) and employed an RNase protection assay to show that nrdA transcription is ArgP regulated in vivo .	Our conclusion runs contrary to that of Han et al . ( 20 ) , who overproduced IciA ( ArgP ) and employed an RNase protection assay to show that @Regulated$ transcription is @TF$ regulated in vivo .	ArgP	nrdA	[[166, 170], [144, 148]]	regulator
Another example is the NarL / NarP - and FNR - stimulated expression of nirB and nrf genes , which are repressed by Fis and IHF ( Browning et al . , 2002 ) .	Another example is the NarL / @TF$ - and FNR - stimulated expression of @Regulated$ and nrf genes , which are repressed by Fis and IHF ( Browning et al . , 2002 ) .	NarP	nirB	[[30, 34], [72, 76]]	activator
It should be remembered that nagE encodes the GlcNAc - specific PTS transporter and the genes for two other PTS transporters ( ptsG and manXYZ ) plus the genes for the central components of the PTS ( ptsHIcrr ) have been shown to be regulated by Mlc ( 6 – 11 ) .	It should be remembered that nagE encodes the GlcNAc - specific PTS transporter and the genes for two other PTS transporters ( ptsG and manXYZ ) plus the genes for the central components of the PTS ( @Regulated$ ) have been shown to be regulated by @TF$ ( 6 – 11 ) .	Mlc	ptsHIcrr	[[246, 249], [200, 208]]	regulator
The transport of glucuronides and their subsequent interconversion to the glucuronate in E . coli is mediated by the genes of the uidAB operon , which is under negative regulation by UidR and UxuR ( Blanco , 1987 ) .	The transport of glucuronides and their subsequent interconversion to the glucuronate in E . coli is mediated by the genes of the @Regulated$ operon , which is under negative regulation by @TF$ and UxuR ( Blanco , 1987 ) .	UidR	uidAB	[[183, 187], [130, 135]]	repressor
The threefold contribution to activation by CRP in this experiment is very similar to the twofold contribution found in the above in vivo experiment ( Table 3 ) , confirming that RhaS - CTD is sufficient to allow at least partial CRP activation of rhaBAD expression .	The threefold contribution to activation by CRP in this experiment is very similar to the twofold contribution found in the above in vivo experiment ( Table 3 ) , confirming that RhaS - CTD is sufficient to allow at least partial @TF$ activation of @Regulated$ expression .	CRP	rhaBAD	[[230, 233], [248, 254]]	activator
Thus , activation of fimB expression by NanR , as judged by the effect of mutations in nanR , orin its operator sequence ( O NR ) , is enhanced considerably in the D3 deletion mutant .	Thus , activation of @Regulated$ expression by @TF$ , as judged by the effect of mutations in nanR , orin its operator sequence ( O NR ) , is enhanced considerably in the D3 deletion mutant .	NanR	fimB	[[40, 44], [21, 25]]	activator
476 - 480 , January 1989 Biochemistry In vivo DNA loops in araCBAD : Size limits and helical repeat ( supercoiling / twist / periodicity / linking number deficit / looping energetics ) DONG - HEE LEE AND ROBERT F . SCHLEIF Biochemistry Department , Brandeis University , Waltham , MA 02254 Communicated by Alexander Rich , October 14 , 1988 ABSTRACT Formation of a DNA loop by AraC proteins bound at the aral and araO2 sites , whose center - to - center distance is 211 base pairs , is necessary for repression of the araBAD promoter , PBAD , of Escherichia coli .	476 - 480 , January 1989 Biochemistry In vivo DNA loops in araCBAD : Size limits and helical repeat ( supercoiling / twist / periodicity / linking number deficit / looping energetics ) DONG - HEE LEE AND ROBERT F . SCHLEIF Biochemistry Department , Brandeis University , Waltham , MA 02254 Communicated by Alexander Rich , October 14 , 1988 ABSTRACT Formation of a DNA loop by @TF$ proteins bound at the aral and araO2 sites , whose center - to - center distance is 211 base pairs , is necessary for repression of the @Regulated$ promoter , PBAD , of Escherichia coli .	AraC	araBAD	[[377, 381], [518, 524]]	repressor
DISCUSSION Physically and functionally heterogeneous complexes containing DnaA protein bound to the dnaA promoter were isolated and analyzed in order to address the mode of binding of DnaA protein to DNA containing a single DnaA box and how this binding inhibits transcription by RNA polymerase .	DISCUSSION Physically and functionally heterogeneous complexes containing DnaA protein bound to the @Regulated$ promoter were isolated and analyzed in order to address the mode of binding of DnaA protein to DNA containing a single @TF$ box and how this binding inhibits transcription by RNA polymerase .	DnaA	dnaA	[[224, 228], [100, 104]]	no_relation
One site , designated the IciA I site , was located upstream IciA protein binds two sites in the dnaA promoter region DNase I - protection experiments were performed to identify binding sites of the IciA protein in the dnaA promoter region ( Fig . 3 ) .	One site , designated the IciA I site , was located upstream @TF$ protein binds two sites in the @Regulated$ promoter region DNase I - protection experiments were performed to identify binding sites of the IciA protein in the dnaA promoter region ( Fig . 3 ) .	IciA	dnaA	[[61, 65], [97, 101]]	regulator
Summary In vivo and in vitro analyses indicate that transcription of the argO gene coding for an arginine exporter is regulated by the global transcriptional regulator Lrp , an effect that went by unnoticed in previous genome - scale screenings of the Lrp regulatory network in Escherichia coli .	Summary In vivo and in vitro analyses indicate that transcription of the @Regulated$ gene coding for an arginine exporter is regulated by the global transcriptional regulator Lrp , an effect that went by unnoticed in previous genome - scale screenings of the @TF$ regulatory network in Escherichia coli .	Lrp	argO	[[252, 255], [73, 77]]	no_relation
Together with a bioinformatic analysis of other Enterobacteriaceae species , these data identify a conserved AraC regulon that includes 7 previously described AraC - regulated genes ( araB , araA , araD , araE , araF , araG , and araH ) as well as three novel targets identified in this work ( ytfQ , araT , and araU ) .	Together with a bioinformatic analysis of other Enterobacteriaceae species , these data identify a conserved @TF$ regulon that includes 7 previously described AraC - regulated genes ( araB , araA , araD , araE , araF , araG , and @Regulated$ ) as well as three novel targets identified in this work ( ytfQ , araT , and araU ) .	AraC	araH	[[109, 113], [230, 234]]	no_relation
In silico analyses and experimental verification of potential binding sites for Lrp in the argO control region The formation of multiple Lrp â€“ argO operator complexes with a different apparent stoichiometry suggests the existence of several binding sites for Lrp in the argO control region .	In silico analyses and experimental verification of potential binding sites for @TF$ in the argO control region The formation of multiple Lrp â€“ @Regulated$ operator complexes with a different apparent stoichiometry suggests the existence of several binding sites for Lrp in the argO control region .	Lrp	argO	[[80, 83], [145, 149]]	no_relation
Alternatively , - CTD residues 321 , 322 , and 323 were defective at a rhaBAD promoter fusion that was activated only by the RhaS protein .	Alternatively , - CTD residues 321 , 322 , and 323 were defective at a @Regulated$ promoter fusion that was activated only by the @TF$ protein .	RhaS	rhaBAD	[[125, 129], [71, 77]]	activator
The expression of xylF is negatively regulated by Fis and RpoS at the transcriptional level ( 50 ) , and a putative regulator , xylR , was found downstream of xylFGH .	The expression of @Regulated$ is negatively regulated by @TF$ and RpoS at the transcriptional level ( 50 ) , and a putative regulator , xylR , was found downstream of xylFGH .	Fis	xylF	[[50, 53], [18, 22]]	repressor
Rob contributes significantly to the expression of the marRAB operon , which regulates the intrinsic resistance of E . coli to various antibiotics , bactericidal agents , and organic solvents ( 5 , 10 , 13 ) .	@TF$ contributes significantly to the expression of the @Regulated$ operon , which regulates the intrinsic resistance of E . coli to various antibiotics , bactericidal agents , and organic solvents ( 5 , 10 , 13 ) .	Rob	marRAB	[[0, 3], [55, 61]]	activator
Similarly , at the melAB promoter , activation by CRP appears to be dependent on direct protein ± protein interactions with MelR .	Similarly , at the @Regulated$ promoter , activation by @TF$ appears to be dependent on direct protein ± protein interactions with MelR .	CRP	melAB	[[50, 53], [19, 24]]	activator
Although these results are consistent with the requirement for CAP and ChbR for chbB activation there is a significant difference between the in vivo and in vitro data .	Although these results are consistent with the requirement for @TF$ and ChbR for @Regulated$ activation there is a significant difference between the in vivo and in vitro data .	CAP	chbB	[[63, 66], [80, 84]]	activator
Like MalE - SoxS , MarA ( i ) activated the transcription of zwf , fpr , fumC , micF , nfo , and sodA ; ( ii ) required a 21 - bp  soxbox  sequence to activate zwf transcription ; and ( iii ) was  ambidextrous ,  i . e . , required the C - terminal domain of the a subunit of RNA polymerase for activation of zwf but not fumC or micF .	Like MalE - SoxS , @TF$ ( i ) activated the transcription of zwf , fpr , fumC , @Regulated$ , nfo , and sodA ; ( ii ) required a 21 - bp  soxbox  sequence to activate zwf transcription ; and ( iii ) was  ambidextrous ,  i . e . , required the C - terminal domain of the a subunit of RNA polymerase for activation of zwf but not fumC or micF .	MarA	micF	[[19, 23], [80, 84]]	activator
The expression of both fusions was increased by growth on galactose and to a lesser extent by growth on GlcNAc , supporting the hypothesis that NagC is involved in repression of galP ( Table 2 ) .	The expression of both fusions was increased by growth on galactose and to a lesser extent by growth on GlcNAc , supporting the hypothesis that @TF$ is involved in repression of @Regulated$ ( Table 2 ) .	NagC	galP	[[144, 148], [178, 182]]	repressor
In the case of the ytfE promoter , repression by NsrR is the dominant regulatory mechanism , though there is also some evidence for anaerobic repression by FNR , as reported previously ( 25 ) .	In the case of the @Regulated$ promoter , repression by @TF$ is the dominant regulatory mechanism , though there is also some evidence for anaerobic repression by FNR , as reported previously ( 25 ) .	NsrR	ytfE	[[49, 53], [19, 23]]	repressor
Although not tested directly , the ybjC - mdaA operon may contain a third gene , rimK , as : ( i ) there does not appear to be either an RNA chain termination signal nor a promoter between mdaA and rimK ( they are separated by 172 bp ) ; ( ii ) Barbosa and Levy ( Barbosa and Levy 2000 ) observed the induction of rimK in their microarray analysis for MarA - induced genes ; and ( iii ) the nearest potential MarA binding site upstream of rimK is that identified for ybjC .	Although not tested directly , the ybjC - mdaA operon may contain a third gene , rimK , as : ( i ) there does not appear to be either an RNA chain termination signal nor a promoter between mdaA and rimK ( they are separated by 172 bp ) ; ( ii ) Barbosa and Levy ( Barbosa and Levy 2000 ) observed the induction of @Regulated$ in their microarray analysis for MarA - induced genes ; and ( iii ) the nearest potential @TF$ binding site upstream of rimK is that identified for ybjC .	MarA	rimK	[[409, 413], [314, 318]]	no_relation
One of the more striking points in each model is that the NarP protein is nonessential ( i . e . , not a major player ) and that it can function as an antagonist of NarL in its ability to activate nirB or nrfA operon expression .	One of the more striking points in each model is that the NarP protein is nonessential ( i . e . , not a major player ) and that it can function as an antagonist of @TF$ in its ability to activate @Regulated$ or nrfA operon expression .	NarL	nirB	[[165, 169], [197, 201]]	activator
It is interesting to compare the characteristics of NagCmediated repression of nag degradative genes with the NagC - mediated activation of the glm genes .	It is interesting to compare the characteristics of NagCmediated repression of @Regulated$ degradative genes with the @TF$ - mediated activation of the glm genes .	NagC	nag	[[110, 114], [79, 82]]	repressor
Our analysis revealed that inaA , marRAB , aslB , ybaO , mdlA , yfhD , and ybiS were transcriptionally activated by constitutive levels of Rob , while galT expression was repressed .	Our analysis revealed that inaA , marRAB , aslB , @Regulated$ , mdlA , yfhD , and ybiS were transcriptionally activated by constitutive levels of @TF$ , while galT expression was repressed .	Rob	ybaO	[[139, 142], [50, 54]]	activator
