REGULATOR	REGULATED	EFFECT
RpoS	yihU	Regulator
FlhC	tag	Regulator
RamA	cho	Regulator
SdiA	acrAB	Regulator
DnaA	lacZ	Regulator
STM1012	STM2628	Regulator
STM2628	STM1012	Regulator
STM1012	aph	Regulator
AraC	ramA	Regulator
OmpR	spiR	Regulator
SsrB	spiC	Regulator
HdfR	yifA	Regulator
STM4417	STM4432	Regulator
STM4417	STM4420	Regulator
STM4417	STM4421	Regulator
STM4417	iolE	Regulator
STM4417	STM4425	Regulator
STM4417	STM4435	Regulator
STM4417	iolH	Regulator
STM4417	STM4430	Regulator
STM4417	STM4431	Regulator
STM4417	STM4433	Regulator
STM4417	argS	Regulator
STM4417	def	Regulator
STM4417	STM3406	Regulator
Lrp	hisJ	Regulator
Lrp	traJ	Regulator
Lrp	pefB	Regulator
Lrp	spvA	Regulator
Lrp	hns	Regulator
Lrp	ompR	Regulator
Lrp	araC	Regulator
Lrp	lacI	Regulator
SlyA	ppiA	Regulator
SlyA	yhfC	Regulator
H-NS	hit	Regulator
SlyA	pipB	Regulator
PhoP	pipB	Regulator
SlyA	gap	Regulator
PhoP	gap	Regulator
SlyA	relA	Regulator
SlyA	spoT	Regulator
SsrB	STM0082	Regulator
SsrB	sseF	Regulator
SsrB	map	Regulator
PhoP	ybjX	Regulator
PhoP	hemL	Regulator
CRP	proP	Regulator
FIS	proP	Regulator
PhoP	proP	Regulator
HilA	gldA	Regulator
TyrR	aroF	Regulator
FIS	btuB	Regulator
FIS	trmA	Regulator
Crl	fur	Regulator
NsrR	yfhH	Regulator
HilA	sipB	Regulator
HilA	sopD	Regulator
GntR	yncC	Regulator
FadR	yncC	Regulator
YncC	yncC	Regulator
TviA	flhC	Regulator
IHF	lacZ	Regulator
IHF	ptsG	Regulator
GlrR	lacZ	Regulator
Fur	invA	Regulator
SsrB	ssaL	Regulator
SsrB	ssaK	Regulator
LuxS	luxS	Regulator
UhpA	ybjX	Regulator
UhpA	fimZ	Regulator
STM4423	iolE	Regulator
AraC	STM4423	Regulator
FlhC	flhD	Regulator
FlhC	flhC	Regulator
Crp	flhD	Regulator
YdiV	tag	Regulator
YdcI	tag	Regulator
PmrA	pmrAB	Regulator
BirA	tag	Regulator
Fur	yqjH	Regulator
Fur	ydiE	Regulator
Fur	ybaN	Regulator
Fur	yncE	Regulator
Fur	feoA	Regulator
Fur	bfd	Regulator
Fur	sufD	Regulator
Fur	sufB	Regulator
MarA	acrEF	Regulator
HilA	dam	Regulator
HilC	dam	Regulator
STM2275	nadR	Regulator
STM2275	rob	Regulator
DksA	add	Regulator
SsrB	STM1633	Regulator
STM0347	stbC	Regulator
AraC	acrB	Regulator
SdiA	sirA	Regulator
MarA	marA	Regulator
SoxS	soxS	Regulator
Rob	rob	Regulator
NsrR	tehB	Regulator
NsrR	dsdXA	Regulator
NsrR	tehAB	Regulator
NsrR	STM1267	Regulator
SgrR	yabN	Regulator
SgrR	tbpA	Regulator
RcsB	wzz	Regulator
PmrA	csgA	Regulator
OmpR	phoP	Regulator
OmpR	phoQ	Regulator
PhoP	fadD	Regulator
OmpR	tviA	Regulator
RcsB	tviA	Regulator
STM3602	STM3846	Regulator
STM3602	phoQ	Regulator
STM3602	STM3601	Regulator
STM3602	treF	Regulator
GntR	STM3602	Regulator
CsrA	phoB	Regulator
CsrA	glgA	Regulator
CsrA	fimA	Regulator
YfhA	STM2562	Regulator
PhoP	PSLT046	Regulator
PhoP	mig5	Regulator
RpoS	ygaU	Regulator
FlhDC	fliT	Regulator
CsrA	mgsA	Regulator
CsrA	infC	Regulator
CsrA	sdiA	Regulator
CRP	fruR	Regulator
YdcI	STM1266	Regulator
CysB	ydjN	Regulator
MtlR	glnG	Regulator
LldR	glnG	Regulator
IscR	glnG	Regulator
NtrC	glnG	Regulator
Fis	glnG	Regulator
CsgD	STM0347	Regulator
FeaR	STM0581	Regulator
STM0580	STM0581	Regulator
STM0581	STM0580	Regulator
Fur	birA	Regulator
NrdR	birA	Regulator
LexA	birA	Regulator
NorR	hcp	Regulator
CreB	talA	Regulator
FliZ	fliA	Regulator
YdiV	flhB	Regulator
PhoP	rpoD	Regulator
SlyA	mig	Regulator
SlyA	csgD	Regulator
PhoP	csgD	Regulator
StpA	stpA	Regulator
StpA	map	Regulator
StpA	tag	Regulator
H-NS	yciG	Regulator
FimZ	phoQ	Regulator
H-NS	rpoE	Regulator
CsgD	bet	Regulator
CsgD	tag	Regulator
Crl	tag	Regulator
FlhDC	fliDST	Regulator
FliA	fliDST	Regulator
KdpE	kdpE	Regulator
YdiV	STM1267	Regulator
YdiV	STM3363	Regulator
STM3696	STM1131	Regulator
STM3696	STM3363	Regulator
Hha	hns	Regulator
Hha	flgN	Regulator
Hha	tcp	Regulator
Hha	tsr	Regulator
Hha	ssrB	Regulator
CRP	pstS	Regulator
OmpR	cirA	Regulator
SdiA	tnpR	Regulator
Rho	air	Regulator
STM0859	STM0854	Regulator
EutR	strB	Regulator
RpoS	stpA	Regulator
MalT	malX	Regulator
CsgD	ssrA	Regulator
SsrB	csgDEFG	Regulator
CsgD	ssrB	Regulator
FadD	tolC	Regulator
KdgR	kdgR	Regulator
FabR	hpaR	Regulator
FabR	hpaG	Regulator
FabR	ddg	Regulator
FabR	ydfZ	Regulator
FabR	ompA	Regulator
FabR	ompC	Regulator
FabR	ompX	Regulator
FabR	osmB	Regulator
FabR	osmC	Regulator
FabR	sseI	Regulator
YijC	fabB	Regulator
YijC	fabA	Regulator
FabR	gap	Regulator
FabR	map	Regulator
Crl	bet	Regulator
SoxS	cpxR	Regulator
BaeR	acrD	Regulator
SlyA	STM2585	Regulator
SlyA	STM1330	Regulator
PhoP	STM2585	Regulator
PhoP	STM1330	Regulator
Fur	fepB	Regulator
ZraR	zraP	Regulator
OmpR	hilC	Regulator
HilD	map	Regulator
HilD	siiA	Regulator
HilC	lpxR	Regulator
HilC	siiA	Regulator
HilC	mcpC	Regulator
HilC	ssaG	Regulator
RtsA	lpxR	Regulator
RtsA	siiA	Regulator
RtsA	mcpC	Regulator
RtsA	ssaG	Regulator
SprB	STM1841	Regulator
RcsB	yddX	Regulator
HilA	pspA	Regulator
HilA	pspD	Regulator
HilA	pspG	Regulator
HilA	yiaD	Regulator
HilA	STM1034	Regulator
HilA	flhD	Regulator
HilC	dapZ	Regulator
RtsA	dacB	Regulator
HilD	flhC	Regulator
HilD	flgM	Regulator
HilD	flgN	Regulator
RtsB	flhC	Regulator
RtsB	flgN	Regulator
RtsB	mcpC	Regulator
HilC	ssaJ	Regulator
HilD	invH	Regulator
RtsA	invH	Regulator
RtsB	galF	Regulator
HilC	map	Regulator
RtsA	map	Regulator
InvF	map	Regulator
SprB	map	Regulator
RtsB	map	Regulator
HilA	map	Regulator
FliZ	yqiC	Regulator
LysR	sinR	Regulator
HilA	cat	Regulator
FlhDC	cat	Regulator
FlhDC	trg	Regulator
SinR	sinR	Regulator
HilD	STM4312	Regulator
HilD	sigD	Regulator
HilD	ppk	Regulator
STM3262	gatY	Regulator
STM3262	gatR	Regulator
STM3262	STM3253	Regulator
STM3785	STM3779	Regulator
STM3262	gatZ	Regulator
DeoR	STM3254	Regulator
DeoR	gatR	Regulator
STM3262	gatC	Regulator
STM3262	STM3257	Regulator
STM3262	argS	Regulator
STM3262	STM1909	Regulator
GatR	argS	Regulator
CsgD	STM3388	Regulator
FlhD	STM1703	Regulator
EutR	eutB	Regulator
PhnR	STM0430	Regulator
PhnR	STM3602	Regulator
STM3602	STM3598	Regulator
STM3602	STM3602	Regulator
Rho	rho	Regulator
RpoS	gltI	Regulator
RpoS	sroC	Regulator
RpoS	gltJKL	Regulator
HilD	sopE	Regulator
InvF	prgH	Regulator
HilA	spaO	Regulator
HilA	invH	Regulator
FlhDC	STM3611	Regulator
FlhDC	STM1344	Regulator
YdiV	STM3611	Regulator
FlhD	STM1925	Regulator
InvF	ssaG	Regulator
Rho	cap	Regulator
AraC	adiY	Regulator
YbiH	tetR	Regulator
RpoS	pnp	Regulator
PhoP	mgtBC	Regulator
RpoS	phoQ	Regulator
HilA	sopA	Regulator
InvF	sopA	Regulator
RcsB	rcsA	Regulator
RcsB	tag	Regulator
NarL	nirB	Regulator
NarL	narG	Regulator
RcsB	nirB	Regulator
RcsA	rcsA	Regulator
CadC	tag	Regulator
OmpR	tag	Regulator
PhoP	srfJ	Regulator
HilE	tag	Regulator
FliZ	hilE	Regulator
HilE	nor	Regulator
H-NS	hilE	Regulator
LexA	hilD	Regulator
LexA	hilC	Regulator
LexA	hilE	Regulator
SlyA	pgtE	Regulator
CpxR	degP	Regulator
RflM	flhDC	Regulator
PhoP	ybjG	Regulator
PmrA	ybjG	Regulator
HilA	invG	Regulator
YdcI	gltA	Regulator
HilA	arcA	Regulator
ArcA	rtcB	Regulator
RtcR	valV	Regulator
RtcR	rhoL	Regulator
LsrR	sdiA	Regulator
LsrR	srgE	Regulator
InvF	sdiA	Regulator
FlhD	tetR	Regulator
RcsB	dps	Regulator
SlyA	dps	Regulator
OmpR	dacC	Regulator
OmpR	adhP	Regulator
OmpR	ssaC	Regulator
BolA	dacC	Regulator
ArcA	gltA	Regulator
OmpR	mgtC	Regulator
OmpR	nor	Regulator
OmpR	map	Regulator
SsrB	argS	Regulator
ArcA	lldD	Regulator
AraC	melR	Regulator
AraC	melA	Regulator
AraC	melB	Regulator
CpxR	amiA	Regulator
CpxR	amiC	Regulator
CpxR	cpxRA	Regulator
CpxR	tsr	Regulator
CpxR	yihE	Regulator
CpxR	dsbA	Regulator
CpxR	htrA	Regulator
CpxR	aldB	Regulator
CpxR	bioA	Regulator
CpxR	pfkB	Regulator
CpxR	STM1269	Regulator
CpxR	STM2613	Regulator
CpxR	STM4562	Regulator
CpxR	ybiJ	Regulator
CpxR	yciG	Regulator
CpxR	STM3681	Regulator
STM3681	STM4562	Regulator
STM3681	ybiJ	Regulator
CpxR	pocR	Regulator
AraC	pocR	Regulator
EmrR	STM2813	Regulator
EmrR	STM2814	Regulator
EmrR	STM2815	Regulator
STM2920	ugtL	Regulator
STM2920	ssaM	Regulator
STM1547	ugtL	Regulator
STM1547	ssaM	Regulator
EmrR	phoP	Regulator
CspE	cspC	Regulator
H-NS	phoPQ	Regulator
SprB	sprB	Regulator
RamA	rob	Regulator
AraC	rob	Regulator
MarA	ramA	Regulator
Rob	tag	Regulator
MarA	flhD	Regulator
SoxS	flhD	Regulator
SoxS	flhB	Regulator
Rob	flhD	Regulator
Rob	flhB	Regulator
RamA	flhD	Regulator
RamA	flhB	Regulator
FlhC	soxR	Regulator
Lrp	oppA	Regulator
IHF	ompR	Regulator
MqsA	rpoS	Regulator
MqsA	csgD	Regulator
RamA	soxR	Regulator
SoxR	soxR	Regulator
HilC	add	Regulator
RtsA	add	Regulator
H-NS	ycjE	Regulator
H-NS	rpoD	Regulator
HilA	sseA	Regulator
STM4030.S	STM4031	Regulator
CsrA	rcsC	Regulator
HilD	dsbA	Regulator
HilD	lon	Regulator
PhoP	macA	Regulator
CsgD	STM0551	Regulator
FNR	hlyE	Regulator
DksA	hlyE	Regulator
SlyA	tag	Regulator
CRP	hlyE	Regulator
Fis	gyrA	Regulator
Fis	gyrB	Regulator
Fis	topA	Regulator
NsrR	soxR	Regulator
NsrR	ycfR	Regulator
NsrR	marA	Regulator
NsrR	yjbE	Regulator
NsrR	trpD	Regulator
NsrR	trpE	Regulator
SlyA	spiR	Regulator
SsrB	sifB	Regulator
H-NS	mgtA	Regulator
InvF	nor	Regulator
SdiA	pefI	Regulator
SdiA	srgC	Regulator
FliA	igaA	Regulator
FliA	STM2275	Regulator
FliA	tdcB	Regulator
FliA	gudT	Regulator
FliA	STM0581	Regulator
FliA	ygaC	Regulator
FliA	eptA	Regulator
FliA	kbl	Regulator
FliA	STM4242	Regulator
FliA	ompR	Regulator
HipAB	tag	Regulator
PhoP	flhDC	Regulator
SdiA	hilA	Regulator
HilD	hns	Regulator
ClpX	phoP	Regulator
ArcA	rnc	Regulator
DnaA	recF	Regulator
DnaA	gyrB	Regulator
PhoP	hha	Regulator
LexA	dinI	Regulator
LexA	uvrA	Regulator
LexA	yebG	Regulator
Hha	lon	Regulator
YeiE	cyoB	Regulator
YeiE	STM2201	Regulator
RpoS	katN	Regulator
SsrB	safA	Regulator
EvgA	ugtL	Regulator
PhoP	hdeB	Regulator
STM0859	leuO	Regulator
Fur	yjjZ	Regulator
Fur	nrdHIEF	Regulator
PhoP	yfcB	Regulator
RpoS	lacI	Regulator
Crl	lacI	Regulator
FliA	flhD	Regulator
FliA	motB	Regulator
SlyA	nor	Regulator
HilD	envZ	Regulator
LacI	araBAD	Regulator
DksA	tag	Regulator
LysR	STM0859	Regulator
STM0859	cat	Regulator
STM0859	res	Regulator
IHF	pheT	Regulator
MarA	ompX	Regulator
Rho	map	Regulator
H-NS	tag	Regulator
PhoR	phoR	Regulator
FlhDC	flgM	Regulator
Fis	hin	Regulator
UhpA	STM0347	Regulator
UhpA	uhpT	Regulator
HilD	rho	Regulator
Fur	tonB	Regulator
Fur	fimA	Regulator
HilA	sprB	Regulator
NikR	STM1255	Regulator
NikR	STM1259	Regulator
ArcA	slyB	Regulator
LldR	lldP	Regulator
LldR	lldR	Regulator
LexA	ysdB	Regulator
YhjC	yhjC	Regulator
YhjC	tag	Regulator
Cra	fruB	Regulator
RamA	nirD	Regulator
NorR	norR	Regulator
LysR	STM0014	Regulator
STM0029	STM0031	Regulator
STM0031	STM0029	Regulator
STM0031	STM0031	Regulator
MelR	cyaA	Regulator
TviA	tviD	Regulator
RpoS	tviA	Regulator
RpoS	mscL	Regulator
RpoS	uspA	Regulator
RpoS	uspB	Regulator
H-NS	vgrG	Regulator
H-NS	STM3611	Regulator
UhpA	csgD	Regulator
UhpA	csgDEFG	Regulator
H-NS	iolG	Regulator
H-NS	iolH	Regulator
H-NS	iolE	Regulator
H-NS	STM4434	Regulator
CRP	iolE	Regulator
CRP	srfJ	Regulator
CRP	argS	Regulator
SsrB	iolE	Regulator
STM4423	STM4434	Regulator
H-NS	STM4417	Regulator
SsrB	STM4417	Regulator
CRP	STM4417	Regulator
AraC	sopB	Regulator
LysR	tcuB	Regulator
SsrB	slrP	Regulator
GntR	STM3357	Regulator
GntR	STM3358	Regulator
H-NS	invF	Regulator
Hha	invF	Regulator
AraC	sopE	Regulator
LldR	lldPRD	Regulator
MarT	marT	Regulator
SdiA	srgA	Regulator
SdiA	srgB	Regulator
Crp	sdiA	Regulator
LeuO	sdiA	Regulator
RpoS	mdh	Regulator
RpoS	galT	Regulator
RpoS	glk	Regulator
LuxS	hilA	Regulator
LuxS	slyA	Regulator
LuxS	fliA	Regulator
LuxS	csgA	Regulator
Lrp	STM0959	Regulator
STM3012	fimZ	Regulator
STM3012	fimF	Regulator
STM3012	torS	Regulator
STM3012	rcsC	Regulator
STM3012	ssrB	Regulator
SlyA	pliC	Regulator
SsrB	cysK	Regulator
PhoB	stx	Regulator
PhoB	waaH	Regulator
H-NS	STM0435	Regulator
NadR	add	Regulator
NadR	map	Regulator
IclR	hit	Regulator
OxyR	ahpC	Regulator
OxyR	sodA	Regulator
OxyR	sodCII	Regulator
SsrB	pspA	Regulator
OxyR	recA	Regulator
RpoS	mic	Regulator
Fnr	hemN	Regulator
PmrA	basR	Regulator
Orf7	fliH	Regulator
CRP	rpoS	Regulator
RpoS	invG	Regulator
RpoS	prgH	Regulator
PhoP	invF	Regulator
PhoP	prgK	Regulator
PhoP	sspA	Regulator
PhoP	sspC	Regulator
HilA	prgK	Regulator
HilA	orgA	Regulator
HilA	sspA	Regulator
HilA	sspC	Regulator
SirA	invG	Regulator
OmpR	ompB	Regulator
RpoS	ada	Regulator
MarT	sugR	Regulator
MarT	rhuM	Regulator
MarT	mgtC	Regulator
RpoS	katE	Activator
RpoS	proV	Activator
RpoS	lrhA	Activator
RpoS	osmY	Activator
RpoS	rpoS	Activator
FliA	invA	Activator
FliA	invF	Activator
FliA	invJ	Activator
FliA	sipC	Activator
PhoP	phoP	Activator
PhoP	phoN	Activator
PhoP	pagB	Activator
PhoP	pagD	Activator
MarA	marRAB	Activator
MarA	acrAB	Activator
MarA	tolC	Activator
SoxS	marRAB	Activator
SoxS	acrAB	Activator
SoxS	tolC	Activator
Rob	marRAB	Activator
Rob	acrAB	Activator
Rob	tolC	Activator
HilA	prgHIJK	Activator
SirC	hilA	Activator
SirC	invF	Activator
SirA	hilA	Activator
SirA	sirC	Activator
FimZ	fimA	Activator
FimW	fimA	Activator
AraC	marRAB	Activator
H-NS	hdeB	Activator
RpoS	dps	Activator
HilA	invF	Activator
SirA	sopB	Activator
SirA	sirA	Activator
DksA	rpoS	Activator
LysR	spvR	Activator
HilA	prgH	Activator
InvF	invF	Activator
HilD	invF	Activator
HilA	hilA	Activator
HilA	phoE	Activator
SdiA	ftsQ	Activator
SdiA	sdiA	Activator
PhoP	mgtC	Activator
SpvR	spvABCD	Activator
RpoS	spvR	Activator
PhoP	spvABCD	Activator
IHF	spvR	Activator
CRP	ilvBN	Activator
Lrp	ilvIH	Activator
Lrp	lrp	Activator
IHF	ilvBN	Activator
PhoP	sspH2	Activator
ArgR	astCADBE	Activator
ArgR	lacZ	Activator
CRP	astCADBE	Activator
OxyR	dps	Activator
OxyR	hemH	Activator
DsdC	dsdA	Activator
PmrA	dgoA	Activator
PmrA	yibD	Activator
OxyR	katG	Activator
OxyR	gor	Activator
OxyR	grxA	Activator
OxyR	oxyR	Activator
PhoP	mgtA	Activator
PhoP	lacZ	Activator
PrpR	prpBCDE	Activator
PocR	pocR	Activator
PhoP	phoPQ	Activator
PhoP	folA	Activator
PhoP	pagN	Activator
PmrA	flhC	Activator
PmrA	mig	Activator
MarA	acrB	Activator
RpoS	rfaH	Activator
PmrA	pbgP	Activator
AraC	virB	Activator
AraC	virG	Activator
PhoP	STM1862	Activator
CsgD	adrA	Activator
CsgD	csgBA	Activator
CsgD	glyA	Activator
PmrA	STM3635	Activator
PmrA	STM0834	Activator
PmrA	pmrC	Activator
H-NS	hilA	Activator
OmpR	ssrAB	Activator
SsrB	sseA	Activator
RpoS	proP	Activator
RpoS	otsBA	Activator
MarA	acrR	Activator
STM4315	STM4319	Activator
STM4315	lacZ	Activator
Crl	csgD	Activator
Crl	csgB	Activator
Crl	adrA	Activator
Crl	bcsA	Activator
RpoS	csgDEFG	Activator
RpoS	adrA	Activator
Crl	crl	Activator
CsgD	csgB	Activator
RpoS	crl	Activator
RpoS	csgD	Activator
PmrA	pmrF	Activator
PmrA	ugd	Activator
PmrA	pmrG	Activator
PmrA	pmrA	Activator
CsgD	csgA	Activator
FlhC	flhDC	Activator
CsrA	flhDC	Activator
FliZ	fliT	Activator
FliZ	fliZ	Activator
MetR	hmp	Activator
RamA	hmp	Activator
Fis	hns	Activator
CspA	hns	Activator
Crl	ydeJ	Activator
Crl	katN	Activator
Crl	katE	Activator
SsrB	sseL	Activator
PhoP	mgtB	Activator
PhoP	pcgL	Activator
PhoP	pmrC	Activator
PhoP	mgtCB	Activator
PhoP	pagC	Activator
PhoP	nagA	Activator
PhoP	ugtL	Activator
HilA	lacZ	Activator
HilA	sopE2	Activator
HilA	siiE	Activator
HilC	hilA	Activator
HilD	hilA	Activator
RtsA	hilA	Activator
AraC	hilA	Activator
Fur	hilA	Activator
HilC	hilC	Activator
HilC	hilD	Activator
HilD	hilC	Activator
HilD	hilD	Activator
RtsA	hilC	Activator
RtsA	hilD	Activator
OmpR	hilA	Activator
Fur	sodB	Activator
Fur	hilD	Activator
FliZ	fliAZY	Activator
FliZ	flhDC	Activator
FIS	dnaA	Activator
RamA	acrAB	Activator
PhoP	acrAB	Activator
RpoS	acrAB	Activator
RamA	tolC	Activator
RamA	acrA	Activator
RamA	acrB	Activator
DnaA	dnaA	Activator
STM1012	recE	Activator
STM1012	lacZ	Activator
SdiA	srgE	Activator
SdiA	rck	Activator
PhoP	ssrB	Activator
PhoP	pmrA	Activator
PhoP	pmrD	Activator
PmrA	phoQ	Activator
PhoP	slyA	Activator
PhoP	pbgP	Activator
PhoP	ugd	Activator
HdfR	dam	Activator
HdfR	seqA	Activator
YifA	dam	Activator
YifA	seqA	Activator
HdfR	agn43	Activator
HilA	hilC	Activator
Lrp	hilA	Activator
Lrp	lacZ	Activator
FadD	hilA	Activator
Fis	hilA	Activator
FliZ	hilA	Activator
Hu	hilA	Activator
Mlc	hilA	Activator
SlyA	ugtL	Activator
SlyA	phoP	Activator
SlyA	pagD	Activator
SlyA	pagC	Activator
SlyA	lacZ	Activator
SlyA	slyA	Activator
SsrB	sseI	Activator
SsrB	lacZ	Activator
SsrB	ssrB	Activator
SlyA	ssrB	Activator
SlyA	ssaB	Activator
SlyA	sseA	Activator
SsrB	slyA	Activator
SsrB	srfN	Activator
PhoP	srfN	Activator
PmrA	pmrHFIJKLM	Activator
CsgD	STM1703	Activator
CsgD	STM1344	Activator
PhoP	dps	Activator
FlhD	spiC	Activator
Rob	mgtA	Activator
LacI	pspA	Activator
CsgD	csgD	Activator
Fur	sdhA	Activator
Fur	lacZ	Activator
FNR	nirB	Activator
FNR	fnr	Activator
Ada	ada	Activator
CueR	copA	Activator
CueR	cueO	Activator
YncC	yciG	Activator
YncC	yciGFE	Activator
McbR	yciGFE	Activator
YncC	katN	Activator
YncC	lacZ	Activator
McbR	yciE	Activator
McbR	lacZ	Activator
YncC	yciE	Activator
McbR	katN	Activator
H-NS	katN	Activator
PhoP	ompX	Activator
SirA	csrB	Activator
GlrR	glrR	Activator
CysB	cysJIH	Activator
LexA	sbmC	Activator
LexA	umuD	Activator
LexA	lexA	Activator
LexA	dinP	Activator
H-NS	sbmC	Activator
SlyA	ssrA	Activator
FlhD	fliF	Activator
YdiV	fliA	Activator
FlhD	fliA	Activator
FlhC	fliA	Activator
SdiA	ydiV	Activator
RpoS	ydcI	Activator
FimZ	hilE	Activator
Hha	hha	Activator
Hha	ydgT	Activator
YdgT	hha	Activator
YdgT	ydgT	Activator
Fnr	frdABCD	Activator
EutR	eutT	Activator
MelR	melA	Activator
MelR	melB	Activator
MetR	metE	Activator
MetR	metA	Activator
MetR	metF	Activator
MetR	metH	Activator
Fur	ftnA	Activator
RamA	acrEF	Activator
CdaR	cdaR	Activator
FliA	fliC	Activator
SoxS	sodA	Activator
SoxS	acnA	Activator
SoxS	acrA	Activator
SoxS	zwf	Activator
SoxS	nfo	Activator
RcnR	yohM	Activator
RcnR	rcnA	Activator
CsgD	STM2123	Activator
DksA	livJ	Activator
DksA	thrABC	Activator
PspF	pspA	Activator
PspF	pspG	Activator
PspC	pspA	Activator
Rho	mgtA	Activator
Rho	ribB	Activator
SoxS	micF	Activator
SoxS	marA	Activator
Rob	ybaO	Activator
Rob	aslB	Activator
MarR	marA	Activator
NsrR	hmp	Activator
NsrR	siiC	Activator
NsrR	nsrR	Activator
NsrR	hcp	Activator
NsrR	yeaR	Activator
NsrR	STM1808	Activator
NsrR	ygbA	Activator
NsrR	ytfE	Activator
NsrR	entC	Activator
NsrR	norV	Activator
NsrR	soxS	Activator
Fur	hmp	Activator
Fur	entC	Activator
Fur	norV	Activator
Fur	soxS	Activator
NorR	hmp	Activator
NorR	entC	Activator
NorR	norV	Activator
NorR	soxS	Activator
SoxR	hmp	Activator
SoxR	entC	Activator
SoxR	norV	Activator
SoxR	soxS	Activator
FlhC	fliZ	Activator
PmrA	wzz	Activator
PmrA	fepE	Activator
RcsB	ugd	Activator
PmrA	pbgE	Activator
PmrA	pmrD	Activator
PmrA	pmrCAB	Activator
SsrB	pmrA	Activator
SsrB	ssaG	Activator
PmrA	ssrB	Activator
PmrA	ssaG	Activator
OmpR	ssrB	Activator
PhoP	mgtCBR	Activator
PhoP	virK	Activator
PhoP	pagK	Activator
PhoP	pipD	Activator
PhoP	tppB	Activator
Lrp	fimZ	Activator
Lrp	fimA	Activator
InvF	sigD	Activator
InvF	sopE	Activator
IHF	invF	Activator
IHF	hilA	Activator
ArcA	hilD	Activator
Fnr	arcA	Activator
CspA	cspB	Activator
CspE	cspB	Activator
CspC	cspB	Activator
CspC	cspD	Activator
CsrA	pefA	Activator
CsrA	csrB	Activator
YfhA	sciS	Activator
YfhA	rcsB	Activator
PhoP	feoB	Activator
RstA	feoB	Activator
PhoP	phoQ	Activator
